recencia_dias,frequencia_pedidos,valor_total,ticket_medio,tempo_entrega_dias,atraso_medio_dias,nota_media_review,frete_pct,parcelas,categoria_principal,metodo_pagamento,churn
35,3,99.78,33.26,18.9,0.5,4.4,10.5,6,brinquedos,cartao_credito,0
190,2,79.78,39.89,25.0,2.3,4.9,13.5,10,esporte_lazer,cartao_credito,0
319,1,84.22,84.22,27.7,0.6,5.0,12.8,8,beleza_saude,cartao_credito,1
79,1,254.09,254.09,16.4,0.0,3.7,15.7,2,brinquedos,boleto,0
187,3,153.54,51.18,9.2,0.0,5.0,5.9,9,relogios_presentes,pix,0
56,2,137.72,68.86,12.4,0.5,4.4,16.9,4,moveis_decoracao,pix,0
276,1,220.28,220.28,21.4,0.0,2.8,2.3,8,relogios_presentes,cartao_credito,1
192,4,231.16,57.79,6.6,1.3,3.9,5.0,10,beleza_saude,cartao_credito,0
135,2,127.36,63.68,20.7,0.0,4.2,27.0,10,cama_mesa_banho,boleto,1
94,1,350.66,350.66,11.0,0.0,3.3,12.8,7,cama_mesa_banho,cartao_credito,0
227,7,159.42,22.77,13.4,8.5,3.1,23.6,8,informatica,cartao_debito,1
269,1,269.52,269.52,7.2,5.3,3.0,10.1,1,moveis_decoracao,boleto,1
376,1,116.98,116.98,4.1,0.9,3.6,2.4,10,telefonia,cartao_credito,1
177,1,214.76,214.76,10.3,2.6,3.2,8.7,10,telefonia,cartao_credito,1
68,1,285.63,285.63,19.8,3.1,5.0,31.1,3,brinquedos,boleto,1
333,3,265.09,88.36,7.8,0.3,1.6,6.5,1,telefonia,cartao_credito,1
253,2,249.84,124.92,21.7,1.2,4.2,25.7,10,telefonia,cartao_credito,0
281,3,113.14,37.71,8.6,0.0,4.6,17.1,6,moveis_decoracao,cartao_credito,1
43,2,77.38,38.69,5.6,3.6,3.1,15.7,2,informatica,boleto,1
128,3,71.41,23.8,13.5,3.7,3.9,10.5,3,moveis_decoracao,boleto,0
308,2,133.39,66.69,16.1,4.4,3.8,9.6,7,cama_mesa_banho,cartao_credito,1
333,3,127.09,42.36,13.1,1.2,4.0,18.4,7,brinquedos,boleto,1
176,3,233.63,77.88,12.9,5.9,4.8,22.9,7,telefonia,boleto,1
322,1,184.41,184.41,21.6,0.3,4.7,16.2,3,relogios_presentes,pix,1
337,2,72.79,36.4,12.6,5.6,3.5,19.4,8,informatica,cartao_credito,1
158,1,317.62,317.62,9.2,0.0,2.6,12.4,9,esporte_lazer,cartao_credito,1
359,1,207.28,207.28,5.2,0.0,4.3,28.0,1,telefonia,pix,1
118,3,108.05,36.02,19.6,5.6,3.4,16.4,6,brinquedos,cartao_credito,0
99,3,120.72,40.24,9.4,2.2,3.6,27.2,7,cama_mesa_banho,pix,0
274,3,412.41,137.47,10.0,1.8,4.3,9.2,4,cama_mesa_banho,boleto,1
256,2,79.78,39.89,18.3,0.0,3.7,14.7,7,telefonia,cartao_credito,1
60,5,426.02,85.2,24.3,0.0,4.4,21.4,9,telefonia,cartao_credito,0
333,2,150.95,75.47,13.5,0.0,5.0,15.9,9,relogios_presentes,cartao_credito,1
83,1,157.76,157.76,11.2,0.8,4.8,18.1,8,esporte_lazer,pix,1
322,2,221.06,110.53,12.0,0.1,5.0,9.1,8,telefonia,cartao_credito,1
7,2,59.69,29.84,9.3,0.0,4.6,12.6,5,moveis_decoracao,pix,0
319,1,206.72,206.72,9.9,4.7,4.2,9.7,1,esporte_lazer,boleto,1
315,1,282.08,282.08,9.9,0.0,4.6,14.5,5,beleza_saude,boleto,1
313,2,131.02,65.51,17.5,3.6,4.6,13.9,8,informatica,boleto,1
267,2,174.86,87.43,11.5,0.0,5.0,11.8,5,beleza_saude,cartao_debito,1
191,2,582.79,291.4,20.2,0.9,4.2,18.8,10,esporte_lazer,pix,0
283,3,301.49,100.5,11.3,2.9,2.8,8.6,6,informatica,pix,1
114,5,94.68,18.94,9.8,2.6,2.6,2.1,1,brinquedos,pix,0
313,4,125.72,31.43,19.7,0.0,4.6,11.6,9,telefonia,cartao_credito,0
224,1,147.88,147.88,12.1,1.8,3.0,27.9,5,relogios_presentes,cartao_credito,1
186,2,313.54,156.77,11.2,2.2,4.8,18.1,1,esporte_lazer,cartao_credito,0
204,2,94.45,47.22,12.2,0.1,5.0,9.9,7,relogios_presentes,cartao_debito,0
229,1,265.55,265.55,20.8,0.0,3.9,17.7,4,moveis_decoracao,cartao_debito,1
19,3,266.65,88.88,13.8,0.0,5.0,14.2,8,brinquedos,cartao_credito,0
60,1,182.04,182.04,19.5,0.0,4.4,17.3,8,beleza_saude,cartao_credito,0
101,2,320.19,160.1,10.6,0.6,4.1,20.3,10,cama_mesa_banho,boleto,0
50,4,100.9,25.22,18.5,4.5,4.2,16.2,10,cama_mesa_banho,boleto,0
178,4,360.86,90.22,13.4,2.8,3.3,15.7,8,informatica,boleto,0
269,1,51.72,51.72,17.3,0.0,3.1,23.9,2,esporte_lazer,pix,1
263,3,94.1,31.37,17.8,5.1,2.5,18.2,9,moveis_decoracao,boleto,1
191,3,52.52,17.51,6.4,0.3,3.4,16.2,1,telefonia,boleto,1
342,1,104.84,104.84,12.4,2.2,5.0,15.3,5,cama_mesa_banho,boleto,1
228,1,269.72,269.72,17.7,0.0,2.6,11.6,9,moveis_decoracao,cartao_credito,1
36,2,227.17,113.58,18.7,0.0,2.9,7.5,10,moveis_decoracao,boleto,0
307,5,205.56,41.11,19.5,3.1,3.3,19.0,10,beleza_saude,boleto,1
231,1,103.71,103.71,12.6,0.0,3.3,22.7,2,esporte_lazer,pix,1
255,2,172.96,86.48,21.2,0.6,4.4,17.6,8,moveis_decoracao,cartao_debito,1
228,1,363.13,363.13,8.1,1.7,3.5,18.4,1,beleza_saude,boleto,1
223,2,106.72,53.36,3.0,0.0,3.9,9.7,6,esporte_lazer,cartao_credito,1
40,4,110.08,27.52,10.3,0.0,3.3,11.4,4,beleza_saude,pix,0
225,4,113.24,28.31,19.2,2.8,3.6,7.3,3,relogios_presentes,boleto,1
318,3,198.59,66.2,5.5,7.7,4.0,13.5,8,informatica,cartao_credito,1
125,1,254.68,254.68,3.2,1.6,4.0,20.9,10,moveis_decoracao,boleto,1
243,2,292.17,146.08,2.0,2.1,5.0,10.8,4,beleza_saude,cartao_credito,1
17,2,147.62,73.81,16.4,0.0,4.1,14.6,8,telefonia,pix,0
142,3,138.62,46.21,3.3,4.2,3.9,19.2,8,beleza_saude,cartao_credito,0
177,3,121.99,40.66,15.3,0.0,1.6,22.2,7,brinquedos,cartao_credito,1
393,1,244.65,244.65,10.0,3.4,4.3,5.1,4,brinquedos,pix,1
89,4,61.19,15.3,7.4,2.0,2.1,12.1,9,cama_mesa_banho,cartao_credito,1
114,3,160.8,53.6,6.0,2.1,4.7,10.6,8,beleza_saude,boleto,0
166,1,161.49,161.49,13.2,2.0,4.2,9.7,9,cama_mesa_banho,cartao_credito,0
397,1,269.0,269.0,7.5,1.9,4.9,12.7,3,telefonia,cartao_credito,1
342,2,73.26,36.63,12.0,1.2,3.5,3.3,1,esporte_lazer,cartao_credito,1
18,2,282.2,141.1,14.4,2.9,4.1,12.8,7,beleza_saude,cartao_credito,0
97,4,235.24,58.81,15.7,0.0,4.8,15.2,1,relogios_presentes,boleto,0
329,3,502.95,167.65,17.6,0.0,3.2,8.7,2,telefonia,boleto,1
28,2,445.1,222.55,13.0,4.2,4.7,12.1,3,esporte_lazer,cartao_debito,1
342,3,347.19,115.73,5.7,0.9,4.7,15.1,2,esporte_lazer,cartao_credito,1
116,3,43.3,14.43,14.8,0.0,4.0,15.7,10,relogios_presentes,cartao_credito,0
367,2,78.13,39.06,15.9,3.1,5.0,5.2,9,moveis_decoracao,cartao_credito,1
120,3,320.98,106.99,10.9,2.6,4.6,19.2,6,cama_mesa_banho,cartao_credito,0
176,4,158.27,39.57,10.3,0.0,2.4,19.3,7,brinquedos,cartao_credito,1
266,4,444.66,111.16,26.9,2.3,5.0,10.5,7,informatica,boleto,0
54,4,184.91,46.23,4.2,0.8,3.4,25.1,9,brinquedos,cartao_credito,0
225,2,263.15,131.57,15.0,2.3,4.9,17.7,4,cama_mesa_banho,cartao_credito,0
204,3,251.42,83.81,18.3,0.5,4.4,16.9,8,informatica,pix,1
314,3,181.78,60.59,10.0,1.7,1.5,19.1,5,informatica,cartao_credito,1
398,1,324.33,324.33,11.0,0.0,4.7,8.8,6,informatica,cartao_credito,1
267,3,276.25,92.08,9.6,0.0,3.9,12.9,4,esporte_lazer,cartao_credito,0
166,6,83.17,13.86,12.0,2.4,3.6,18.7,8,moveis_decoracao,cartao_debito,0
165,2,607.18,303.59,17.4,7.1,3.7,10.2,10,telefonia,cartao_credito,1
170,1,78.19,78.19,10.8,1.4,4.9,12.9,10,brinquedos,cartao_credito,1
326,2,109.77,54.88,30.7,0.0,3.2,18.6,5,moveis_decoracao,cartao_credito,1
131,2,260.36,130.18,9.3,0.8,5.0,16.9,1,informatica,boleto,0
70,2,230.67,115.34,20.3,0.0,2.6,15.1,9,moveis_decoracao,cartao_credito,0
137,3,290.83,96.94,15.3,3.6,4.4,15.4,1,informatica,cartao_credito,0
13,4,154.83,38.71,12.7,0.6,4.9,14.0,2,brinquedos,boleto,0
46,2,241.43,120.72,20.8,3.1,4.8,20.1,9,telefonia,pix,0
40,2,114.9,57.45,2.4,0.1,4.3,27.5,4,brinquedos,boleto,0
309,7,184.87,26.41,14.6,3.4,3.9,16.8,6,telefonia,cartao_credito,1
290,1,412.08,412.08,7.7,0.0,3.6,22.7,2,beleza_saude,cartao_debito,1
280,2,77.91,38.96,9.4,0.6,2.9,12.4,3,cama_mesa_banho,cartao_credito,1
187,2,336.8,168.4,9.1,1.8,3.4,10.9,3,brinquedos,cartao_credito,0
288,2,162.3,81.15,6.2,0.0,3.1,10.3,3,telefonia,cartao_credito,1
68,1,98.75,98.75,2.1,1.4,3.0,9.5,7,esporte_lazer,cartao_credito,0
360,1,103.44,103.44,14.3,1.4,5.0,13.2,7,moveis_decoracao,cartao_credito,1
202,3,159.15,53.05,11.6,3.1,2.4,20.3,2,esporte_lazer,pix,1
375,3,346.47,115.49,10.2,2.1,5.0,21.0,10,beleza_saude,cartao_credito,1
65,4,240.52,60.13,16.6,1.5,2.9,11.9,6,telefonia,cartao_credito,0
201,1,73.57,73.57,14.7,2.7,3.1,13.1,8,cama_mesa_banho,cartao_debito,1
280,5,326.11,65.22,10.4,0.0,3.1,15.0,1,relogios_presentes,cartao_credito,1
200,4,293.21,73.3,30.3,0.0,3.0,16.4,4,moveis_decoracao,cartao_credito,1
181,3,52.12,17.37,18.1,0.0,5.0,18.5,10,relogios_presentes,pix,1
70,2,95.69,47.84,26.7,1.9,4.7,12.6,9,brinquedos,boleto,0
155,3,368.85,122.95,9.5,1.5,3.9,13.8,1,relogios_presentes,pix,0
99,3,182.41,60.8,13.5,4.0,5.0,23.1,7,brinquedos,cartao_credito,0
124,3,324.89,108.3,4.6,1.4,4.1,13.3,8,brinquedos,cartao_credito,0
275,5,36.45,7.29,10.0,0.0,4.2,11.6,2,esporte_lazer,cartao_credito,0
253,5,29.39,5.88,8.5,0.8,3.4,14.5,9,cama_mesa_banho,cartao_credito,0
244,2,271.85,135.93,30.0,0.0,3.3,15.5,2,relogios_presentes,boleto,1
147,3,122.49,40.83,7.8,0.0,3.6,5.8,10,informatica,cartao_credito,1
384,3,281.52,93.84,10.6,0.0,5.0,12.3,1,moveis_decoracao,cartao_credito,1
39,4,327.56,81.89,3.3,1.3,4.7,17.5,7,relogios_presentes,cartao_credito,0
140,3,124.01,41.34,15.2,0.0,5.0,27.0,3,cama_mesa_banho,cartao_credito,0
51,1,171.44,171.44,6.6,0.2,3.4,11.8,7,beleza_saude,cartao_credito,0
138,4,147.46,36.86,17.5,0.0,4.7,19.6,8,telefonia,cartao_credito,0
384,3,122.63,40.88,2.0,0.0,4.4,16.1,6,telefonia,cartao_credito,1
149,8,209.99,26.25,11.3,2.2,4.5,22.0,8,telefonia,cartao_credito,0
363,4,306.92,76.73,2.0,0.0,3.2,11.3,8,cama_mesa_banho,boleto,0
200,1,110.39,110.39,9.1,1.8,3.1,21.6,4,moveis_decoracao,cartao_credito,1
281,2,110.02,55.01,10.3,0.0,4.6,23.4,9,esporte_lazer,boleto,1
185,2,124.74,62.37,8.4,0.0,5.0,23.7,1,informatica,cartao_credito,0
110,1,260.62,260.62,9.0,3.6,3.5,23.6,6,cama_mesa_banho,cartao_credito,0
306,3,326.15,108.72,17.8,3.8,4.7,16.1,8,cama_mesa_banho,cartao_debito,1
387,1,145.81,145.81,25.0,0.0,5.0,18.5,8,relogios_presentes,cartao_credito,1
109,2,44.85,22.42,14.0,0.0,3.7,12.5,4,relogios_presentes,pix,0
312,3,87.69,29.23,6.8,0.0,2.7,2.0,10,esporte_lazer,cartao_credito,1
108,2,140.04,70.02,12.4,0.0,2.8,16.5,10,cama_mesa_banho,boleto,1
288,3,100.86,33.62,9.9,0.0,3.4,14.0,2,moveis_decoracao,boleto,1
316,2,73.17,36.58,17.3,1.6,3.7,20.8,1,moveis_decoracao,cartao_credito,1
182,2,187.99,94.0,13.7,5.7,4.1,20.2,6,cama_mesa_banho,cartao_credito,1
296,3,699.88,233.29,2.5,0.0,4.1,8.6,2,beleza_saude,pix,0
112,4,91.72,22.93,18.6,3.1,3.8,29.0,1,moveis_decoracao,boleto,0
36,2,211.25,105.62,17.8,1.4,4.8,17.3,9,informatica,boleto,0
43,5,252.71,50.54,21.0,0.0,3.3,7.3,5,informatica,pix,0
181,4,265.61,66.4,8.9,0.4,5.0,8.1,9,beleza_saude,cartao_credito,0
361,6,174.87,29.14,13.8,0.1,5.0,2.0,8,beleza_saude,boleto,1
55,2,75.72,37.86,4.9,4.2,5.0,19.6,7,telefonia,cartao_debito,0
185,2,305.75,152.88,11.7,4.3,3.4,11.8,4,beleza_saude,cartao_debito,1
283,2,57.42,28.71,14.4,1.4,4.0,10.0,8,esporte_lazer,cartao_credito,1
84,3,163.33,54.44,8.2,3.5,4.8,11.1,2,relogios_presentes,pix,0
290,1,152.64,152.64,14.1,0.1,3.9,13.2,4,informatica,cartao_credito,1
125,4,80.03,20.01,13.0,3.3,3.4,18.5,9,informatica,boleto,1
324,4,124.74,31.18,9.3,0.8,3.4,5.1,7,esporte_lazer,boleto,1
233,3,260.02,86.67,20.4,3.2,3.4,8.6,3,cama_mesa_banho,cartao_credito,1
221,3,163.3,54.43,10.6,3.5,2.9,17.8,9,brinquedos,cartao_credito,1
74,1,64.33,64.33,12.8,2.3,5.0,11.4,6,beleza_saude,cartao_credito,0
187,6,283.27,47.21,3.2,0.0,2.1,18.5,8,relogios_presentes,cartao_credito,0
343,1,494.04,494.04,15.1,0.0,3.1,12.0,2,brinquedos,cartao_credito,1
12,2,70.6,35.3,9.1,2.4,4.7,24.4,2,moveis_decoracao,cartao_credito,0
304,2,172.25,86.12,17.7,2.7,3.4,16.3,10,informatica,cartao_credito,1
199,1,176.4,176.4,4.1,0.9,3.7,22.4,10,beleza_saude,cartao_credito,0
289,2,69.4,34.7,14.6,0.0,4.5,18.1,4,cama_mesa_banho,boleto,0
267,2,376.54,188.27,2.0,1.0,5.0,18.5,10,telefonia,boleto,1
175,2,178.87,89.44,15.7,0.0,3.8,10.5,9,cama_mesa_banho,cartao_credito,0
126,4,312.27,78.07,11.0,0.0,5.0,22.0,3,beleza_saude,pix,0
252,1,219.66,219.66,14.4,5.4,2.4,16.3,4,cama_mesa_banho,cartao_credito,1
60,3,367.9,122.63,8.4,0.0,3.5,9.3,6,moveis_decoracao,cartao_credito,0
235,2,217.65,108.82,6.3,1.8,4.6,2.3,4,brinquedos,cartao_credito,0
42,5,133.93,26.79,9.4,0.9,5.0,15.8,3,informatica,pix,0
261,2,247.71,123.86,13.2,0.0,3.1,24.0,3,relogios_presentes,cartao_credito,0
253,1,102.73,102.73,15.5,0.0,3.0,9.6,7,esporte_lazer,cartao_credito,1
38,4,263.08,65.77,13.8,0.3,4.4,9.4,5,relogios_presentes,cartao_debito,0
304,1,91.61,91.61,6.4,0.0,4.2,13.1,10,moveis_decoracao,boleto,1
169,2,168.39,84.2,23.0,5.1,3.4,21.6,9,esporte_lazer,boleto,1
315,3,147.57,49.19,14.0,0.0,2.9,4.0,1,beleza_saude,cartao_credito,1
21,1,207.96,207.96,8.3,0.0,3.6,11.1,7,moveis_decoracao,cartao_credito,0
75,2,405.17,202.58,14.5,3.6,4.6,9.0,7,telefonia,cartao_credito,0
200,1,121.93,121.93,13.5,0.1,3.8,18.4,1,informatica,cartao_credito,1
79,3,299.99,100.0,10.9,2.1,5.0,14.1,8,moveis_decoracao,pix,0
135,3,375.38,125.13,10.2,0.0,4.0,12.9,6,brinquedos,cartao_credito,0
265,2,294.33,147.16,17.9,0.6,4.7,13.9,9,informatica,cartao_credito,1
62,2,206.99,103.5,22.4,2.9,4.4,19.7,5,relogios_presentes,cartao_credito,1
272,1,200.37,200.37,2.0,0.0,3.7,21.7,5,informatica,boleto,1
45,1,116.97,116.97,19.4,1.8,4.9,21.1,7,telefonia,cartao_credito,0
74,3,58.1,19.37,12.1,0.0,2.9,18.5,8,brinquedos,cartao_credito,0
237,2,183.06,91.53,13.4,3.7,3.5,23.3,8,telefonia,cartao_credito,1
318,3,395.59,131.86,20.1,0.0,3.7,9.4,5,esporte_lazer,pix,0
72,2,429.74,214.87,2.0,0.3,4.5,17.3,6,brinquedos,boleto,0
123,1,66.27,66.27,16.9,0.3,4.7,29.1,10,brinquedos,boleto,0
370,3,421.7,140.57,19.7,0.0,3.3,4.0,9,beleza_saude,boleto,1
395,2,254.97,127.48,7.9,0.0,3.1,11.8,4,cama_mesa_banho,pix,1
234,4,237.09,59.27,3.6,1.8,4.2,8.8,7,telefonia,cartao_credito,0
181,2,393.78,196.89,21.8,1.9,2.6,16.7,2,esporte_lazer,pix,1
142,1,326.51,326.51,2.0,0.0,5.0,23.6,4,cama_mesa_banho,cartao_credito,0
246,2,90.57,45.28,14.5,1.9,3.9,18.2,6,esporte_lazer,cartao_debito,1
238,3,108.19,36.06,18.1,1.9,2.9,13.7,4,informatica,boleto,1
121,1,53.48,53.48,14.4,0.0,2.9,18.3,10,informatica,pix,1
14,4,230.43,57.61,15.4,0.0,4.4,13.3,9,relogios_presentes,cartao_credito,0
64,1,97.99,97.99,10.4,0.4,4.4,16.2,1,esporte_lazer,cartao_credito,0
383,2,130.76,65.38,14.8,1.4,3.3,18.7,3,esporte_lazer,boleto,1
170,3,365.13,121.71,7.7,0.4,4.0,25.5,2,esporte_lazer,cartao_credito,1
195,2,250.05,125.02,8.5,0.0,3.0,17.7,2,beleza_saude,boleto,0
189,1,254.24,254.24,12.2,1.7,3.8,16.3,6,relogios_presentes,cartao_credito,0
314,3,599.8,199.93,2.8,3.7,5.0,27.2,8,esporte_lazer,pix,0
30,3,25.41,8.47,15.5,0.0,5.0,3.3,8,moveis_decoracao,cartao_credito,0
37,1,101.69,101.69,2.0,0.0,3.9,14.4,5,relogios_presentes,boleto,0
113,3,147.03,49.01,14.2,7.4,4.5,10.6,5,esporte_lazer,pix,0
197,8,106.28,13.28,14.7,1.2,4.5,13.6,3,informatica,boleto,0
270,5,310.66,62.13,7.2,0.0,2.4,18.6,9,relogios_presentes,cartao_credito,1
198,6,158.6,26.43,4.6,0.0,3.0,20.9,9,esporte_lazer,cartao_credito,0
179,6,84.08,14.01,9.6,0.0,1.8,11.9,4,cama_mesa_banho,cartao_credito,0
375,1,217.89,217.89,15.8,1.5,4.5,19.0,2,informatica,cartao_credito,1
68,3,241.56,80.52,14.1,1.3,5.0,9.6,5,brinquedos,pix,0
230,3,88.86,29.62,5.3,0.0,5.0,7.3,8,moveis_decoracao,cartao_debito,1
219,1,163.74,163.74,12.6,5.1,4.1,15.4,3,brinquedos,boleto,1
192,3,245.18,81.73,13.6,0.7,4.0,13.7,4,beleza_saude,pix,1
324,2,377.91,188.96,13.3,0.0,3.7,23.9,2,telefonia,pix,0
110,3,113.85,37.95,6.1,0.0,5.0,27.8,8,brinquedos,cartao_credito,0
381,1,262.44,262.44,12.9,0.0,4.3,11.3,9,beleza_saude,cartao_credito,1
135,3,125.48,41.83,17.5,0.0,4.2,4.1,8,informatica,cartao_credito,0
220,2,192.81,96.4,15.2,0.0,3.0,6.8,9,informatica,cartao_credito,1
210,2,94.33,47.16,14.5,0.0,4.7,10.0,2,esporte_lazer,cartao_credito,1
340,2,257.44,128.72,21.9,2.5,4.0,16.2,9,informatica,cartao_credito,1
178,3,339.13,113.04,13.0,0.0,4.5,13.4,9,relogios_presentes,cartao_credito,0
117,2,168.47,84.24,6.9,2.6,5.0,7.4,4,beleza_saude,cartao_credito,0
13,3,154.74,51.58,7.0,1.7,2.5,25.7,7,beleza_saude,cartao_credito,0
148,7,145.33,20.76,13.1,2.1,3.8,19.0,1,cama_mesa_banho,cartao_credito,0
331,3,77.76,25.92,3.4,2.7,3.7,25.6,9,brinquedos,boleto,1
8,3,289.8,96.6,10.1,5.5,3.6,4.2,1,telefonia,cartao_credito,0
358,3,371.98,123.99,14.8,0.0,3.0,22.6,1,informatica,pix,1
219,4,109.57,27.39,19.0,2.6,3.4,14.1,7,relogios_presentes,cartao_credito,1
60,3,209.73,69.91,2.7,1.5,3.0,12.6,8,moveis_decoracao,boleto,0
124,2,253.06,126.53,12.6,3.2,4.9,15.1,9,informatica,cartao_credito,0
223,1,124.05,124.05,11.6,0.8,4.5,10.8,10,brinquedos,cartao_debito,1
129,4,428.65,107.16,12.2,3.4,4.4,14.1,1,cama_mesa_banho,pix,0
